kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.16,0.1,0.45,1.8,1,1.08133188379262,0.63412928434285,0.158085920273398,9.3172347361624,9.31723473616241,0,1.50047268105864
0.08,0.2,0.45,1.2,1,1.10240207198521,0.646485549389503,0.159419300619692,7.55024445448099,7.550244454481,0,1.5082090657883
0.08,0.2,0.45,1.2,1.2,1.10240207198521,0.646485549389503,0.159419300619692,7.55024445448099,7.550244454481,0,1.5082090657883
0.04,0.3,0.25,2.4,1,1.13460155571354,0.665368406612981,0.161648241279436,4.84992804994569,4.84992804994569,0,1.51811914291918
0.04,0.3,0.25,2.4,1.2,1.13460155571354,0.665368406612981,0.161648241279436,4.84992804994569,4.84992804994569,0,1.51811914291918
0.08,0.1,0.45,1.2,1,1.10051206165523,0.645377183941376,0.158073957279761,7.70874469448049,7.70874469448049,0,1.51977248885762
0.08,0.1,0.45,1.2,1.2,1.10051206165523,0.645377183941376,0.158073957279761,7.70874469448049,7.70874469448049,0,1.51977248885762
0.04,0.3,0.25,1.8,1,1.13457219324419,0.665351187476143,0.160593334184283,4.85239044835952,4.85239044835952,0,1.52863885140136
0.04,0.3,0.25,1.8,1.2,1.13457219324419,0.665351187476143,0.160593334184283,4.85239044835952,4.85239044835952,0,1.52863885140136
0.04,0.1,0.35,1.8,1,1.13169957227332,0.663666586191607,0.160169322263181,5.09329448263236,5.09329448263237,0,1.53000634964151
0.04,0.1,0.35,1.8,1.2,1.13169957227332,0.663666586191607,0.160169322263181,5.09329448263236,5.09329448263237,0,1.53000634964151
0.04,0.2,0.35,1.2,1,1.13339060217611,0.664658262843461,0.159915328984707,4.95148115961115,4.95148115961116,0,1.53423731232905
0.04,0.2,0.35,1.2,1.2,1.13339060217611,0.664658262843461,0.159915328984707,4.95148115961115,4.95148115961116,0,1.53423731232905
0.04,0.3,0.25,1.2,1,1.13454250346285,0.665333776392578,0.159531562420029,4.85488029584479,4.85488029584479,0,1.53922687926257
0.04,0.3,0.25,1.2,1.2,1.13454250346285,0.665333776392578,0.159531562420029,4.85488029584479,4.85488029584479,0,1.53922687926257
0.04,0.3,0.25,0.8,1,1.13452252777444,0.665322061978909,0.158819887976385,4.85655549907402,4.85655549907402,0,1.54632364801059
0.04,0.3,0.25,0.8,1.2,1.13452252777444,0.665322061978909,0.158819887976385,4.85655549907402,4.85655549907402,0,1.54632364801059
0.08,0.3,0.35,2.4,1,1.10188541199198,0.646182562640781,0.154860903288209,7.59357264778609,7.59357264778609,0,1.55327637910989
0.08,0.3,0.35,2.4,1.2,1.10188541199198,0.646182562640781,0.154860903288209,7.59357264778609,7.59357264778609,0,1.55327637910989
0.08,0.2,0.35,2.4,1,1.10003983206603,0.645100252671768,0.153735278060602,7.7483468606887,7.7483468606887,0,1.56268705146
0.08,0.2,0.35,2.4,1.2,1.10003983206603,0.645100252671768,0.153735278060602,7.7483468606887,7.7483468606887,0,1.56268705146
0.08,0.1,0.35,2.4,1,1.09824838032523,0.644049685285976,0.152849068069859,7.89858177018094,7.89858177018095,0,1.56975769962664
0.08,0.1,0.35,2.4,1.2,1.09824838032523,0.644049685285976,0.152849068069859,7.89858177018094,7.89858177018095,0,1.56975769962664
0.12,0.3,0.45,1.2,1,1.08522623905806,0.636413064886516,0.15060749483152,8.99064591576119,8.99064591576119,0,1.57915129074287
0.12,0.3,0.45,1.2,1.2,1.08522623905806,0.636413064886516,0.15060749483152,8.99064591576119,8.99064591576119,0,1.57915129074287
0.12,0.2,0.45,1.2,1,1.08399384631976,0.63569034845053,0.150426244666686,9.09399696188855,9.09399696188856,0,1.57973139965289
0.12,0.2,0.45,1.2,1.2,1.08399384631976,0.63569034845053,0.150426244666686,9.09399696188855,9.09399696188856,0,1.57973139965289
0.12,0.1,0.45,1.2,1,1.08283736914528,0.635012151447369,0.149392151614192,9.19098156922143,9.19098156922143,0,1.58891585300336
0.12,0.1,0.45,1.2,1.2,1.08283736914528,0.635012151447369,0.149392151614192,9.19098156922143,9.19098156922143,0,1.58891585300336
0.04,0.2,0.35,0.8,1,1.13299013956953,0.664423418139514,0.152848964249387,4.98506479576756,4.98506479576756,0,1.60450049707567
0.04,0.2,0.35,0.8,1.2,1.13299013956953,0.664423418139514,0.152848964249387,4.98506479576756,4.98506479576756,0,1.60450049707567
0.04,0.1,0.35,1.2,1,1.13109682869097,0.663313117139002,0.147648435412854,5.14384182671001,5.14384182671002,0,1.65461247456243
0.04,0.1,0.35,1.2,1.2,1.13109682869097,0.663313117139002,0.147648435412854,5.14384182671001,5.14384182671002,0,1.65461247456243
0.08,0.3,0.35,1.8,1,1.10111607644862,0.645731398474771,0.144150150651218,7.65809074397224,7.65809074397224,0,1.65961456993644
0.08,0.3,0.35,1.8,1.2,1.10111607644862,0.645731398474771,0.144150150651218,7.65809074397224,7.65809074397224,0,1.65961456993644
0.08,0.2,0.35,1.8,1,1.09926636205567,0.644646663915644,0.143772744142985,7.81321168196972,7.81321168196974,0,1.66153892062582
0.08,0.2,0.35,1.8,1.2,1.09926636205567,0.644646663915644,0.143772744142985,7.81321168196972,7.81321168196974,0,1.66153892062582
0.08,0.1,0.35,1.8,1,1.09746296709442,0.643589092624804,0.143587410903826,7.96444817503965,7.96444817503966,0,1.66158885805616
0.08,0.1,0.35,1.8,1.2,1.09746296709442,0.643589092624804,0.143587410903826,7.96444817503965,7.96444817503966,0,1.66158885805616
0.08,0.1,0.45,0.8,1,1.09864258440223,0.644280859778272,0.142747438239704,7.86552298747304,7.86552298747304,0,1.67116820200519
0.08,0.1,0.45,0.8,1.2,1.09864258440223,0.644280859778272,0.142747438239704,7.86552298747304,7.86552298747304,0,1.67116820200519
0.08,0.3,0.45,0.8,1,1.10242683249614,0.646500069783572,0.143033557103022,7.54816798597624,7.54816798597624,0,1.67209126146591
0.08,0.3,0.45,0.8,1.2,1.10242683249614,0.646500069783572,0.143033557103022,7.54816798597624,7.54816798597624,0,1.67209126146591
0.08,0.2,0.45,0.8,1,1.10051900791187,0.645381257459245,0.142800549091347,7.70816216679436,7.70816216679437,0,1.6725135169984
0.08,0.2,0.45,0.8,1.2,1.10051900791187,0.645381257459245,0.142800549091347,7.70816216679436,7.70816216679437,0,1.6725135169984
0.04,0.2,0.25,2.4,1,1.13228443847232,0.664009571347012,0.145713192160964,5.04424637350924,5.04424637350925,0,1.67515251686268
0.04,0.2,0.25,2.4,1.2,1.13228443847232,0.664009571347012,0.145713192160964,5.04424637350924,5.04424637350925,0,1.67515251686268
0.04,0.2,0.25,1.8,1,1.1322555009169,0.663992601393956,0.143895873295453,5.04667313774732,5.04667313774732,0,1.69329676796237
0.04,0.2,0.25,1.8,1.2,1.1322555009169,0.663992601393956,0.143895873295453,5.04667313774732,5.04667313774732,0,1.69329676796237
0.04,0.2,0.25,1.2,1,1.13222625135548,0.663975448470111,0.142061883367989,5.04912606746533,5.04912606746534,0,1.71160741767559
0.04,0.2,0.25,1.2,1.2,1.13222625135548,0.663975448470111,0.142061883367989,5.04912606746533,5.04912606746534,0,1.71160741767559
0.04,0.2,0.25,0.8,1,1.13220657795914,0.663963911330657,0.140829936904876,5.0507759198452,5.05077591984521,0,1.72390720891038
0.04,0.2,0.25,0.8,1.2,1.13220657795914,0.663963911330657,0.140829936904876,5.0507759198452,5.05077591984521,0,1.72390720891038
0.04,0.1,0.35,0.8,1,1.13068495811359,0.66307158241836,0.139128355515217,5.17838215928241,5.17838215928242,0,1.73940140296142
0.04,0.1,0.35,0.8,1.2,1.13068495811359,0.66307158241836,0.139128355515217,5.17838215928241,5.17838215928242,0,1.73940140296142
